Age,Gender,Mood,Genre
55,F,Happy,Rock
55,F,Gloomy,Blues
55,F,Stressed,Rock
55,F,Relaxing,Instrumental
55,F,Energetic,Hiphop
50,F,Happy,Rock
50,F,Gloomy,Rock
50,F,Stressed,Rock
50,F,Relaxing,Rock
50,F,Energetic,Rock
49,M,Happy,Rock
49,M,Gloomy,Pop
49,M,Stressed,Rock
49,M,Relaxing,Instrumental
49,M,Energetic,Pop
47,F,Happy,Pop
47,F,Gloomy,Rock
47,F,Stressed,Indie/Acoustic
47,F,Relaxing,Indie/Acoustic
47,F,Energetic,Pop
47,F,Happy,Rock
47,F,Gloomy,Rock
47,F,Stressed,Rock
47,F,Relaxing,Indie/Acoustic
47,F,Energetic,Hiphop
47,M,Happy,Rock
47,M,Gloomy,Rock
47,M,Stressed,Indie/Acoustic
47,M,Relaxing,Blues
47,M,Energetic,Rock
45,F,Happy,Pop
45,F,Gloomy,Indie/Acoustic
45,F,Stressed,Rock
45,F,Relaxing,Instrumental
45,F,Energetic,Pop
45,M,Happy,Country
45,M,Gloomy,Indie/Acoustic
45,M,Stressed,Rock
45,M,Relaxing,Indie/Acoustic
45,M,Energetic,Hiphop
45,F,Happy,Pop
45,F,Gloomy,Indie/Acoustic
45,F,Stressed,Rock
45,F,Relaxing,Indie/Acoustic
45,F,Energetic,Pop
45,F,Happy,Pop
45,F,Gloomy,Indie/Acoustic
45,F,Stressed,Indie/Acoustic
45,F,Relaxing,Blues
45,F,Energetic,Pop
45,M,Happy,Rock
45,M,Gloomy,Indie/Acoustic
45,M,Stressed,Rock
45,M,Relaxing,Instrumental
45,M,Energetic,Rock
44,M,Happy,Rock
44,M,Gloomy,Instrumental
44,M,Stressed,Instrumental
44,M,Relaxing,Indie/Acoustic
44,M,Energetic,Rock
43,F,Happy,Country
43,F,Gloomy,Indie/Acoustic
43,F,Stressed,Country
43,F,Relaxing,Instrumental
43,F,Energetic,Country
43,F,Happy,Country
43,F,Gloomy,Indie/Acoustic
43,F,Stressed,Indie/Acoustic
43,F,Relaxing,Indie/Acoustic
43,F,Energetic,Rock
42,M,Happy,Pop
42,M,Gloomy,Rock
42,M,Stressed,Indie/Acoustic
42,M,Relaxing,Indie/Acoustic
42,M,Energetic,Indie/Acoustic
42,F,Happy,Pop
42,F,Gloomy,Instrumental
42,F,Stressed,Indie/Acoustic
42,F,Relaxing,Instrumental
42,F,Energetic,Pop
39,F,Happy,Indie/Acoustic
39,F,Gloomy,Rock
39,F,Stressed,Rock
39,F,Relaxing,Blues
39,F,Energetic,EDM
39,F,Happy,Hiphop
39,F,Gloomy,Indie/Acoustic
39,F,Stressed,Hiphop
39,F,Relaxing,Instrumental
39,F,Energetic,Hiphop
39,F,Happy,Hiphop
39,F,Gloomy,Indie/Acoustic
39,F,Stressed,Rock
39,F,Relaxing,Instrumental
39,F,Energetic,Rock
39,F,Happy,Hiphop
39,F,Gloomy,Rock
39,F,Stressed,Hiphop
39,F,Relaxing,Country
39,F,Energetic,Hiphop
37,F,Happy,Pop
37,F,Gloomy,Indie/Acoustic
37,F,Stressed,Indie/Acoustic
37,F,Relaxing,Pop
37,F,Energetic,Rock
37,F,Happy,Pop
37,F,Gloomy,Indie/Acoustic
37,F,Stressed,Hiphop
37,F,Relaxing,Instrumental
37,F,Energetic,Rock
37,F,Happy,EDM
37,F,Gloomy,Blues
37,F,Stressed,Indie/Acoustic
37,F,Relaxing,Instrumental
37,F,Energetic,Rock
37,M,Happy,Pop
37,M,Gloomy,Blues
37,M,Stressed,Instrumental
37,M,Relaxing,Instrumental
37,M,Energetic,Indie/Acoustic
37,F,Happy,Pop
37,F,Gloomy,Indie/Acoustic
37,F,Stressed,Pop
37,F,Relaxing,Instrumental
37,F,Energetic,Hiphop
37,F,Happy,Pop
37,F,Gloomy,Blues
37,F,Stressed,Instrumental
37,F,Relaxing,Instrumental
37,F,Energetic,Rock
37,F,Happy,Pop
37,F,Gloomy,Indie/Acoustic
37,F,Stressed,Pop
37,F,Relaxing,Instrumental
37,F,Energetic,Instrumental
36,M,Happy,Pop
36,M,Gloomy,Indie/Acoustic
36,M,Stressed,Rock
36,M,Relaxing,Indie/Acoustic
36,M,Energetic,Pop
36,F,Happy,Rock
36,F,Gloomy,Blues
36,F,Stressed,Indie/Acoustic
36,F,Relaxing,Indie/Acoustic
36,F,Energetic,Pop
34,F,Happy,Pop
34,F,Gloomy,Indie/Acoustic
34,F,Stressed,Rock
34,F,Relaxing,EDM
34,F,Energetic,Country
34,M,Happy,Rock
34,M,Gloomy,Indie/Acoustic
34,M,Stressed,Rock
34,M,Relaxing,EDM
34,M,Energetic,Country
34,F,Happy,Pop
34,F,Gloomy,Indie/Acoustic
34,F,Stressed,Rock
34,F,Relaxing,Instrumental
34,F,Energetic,Rock
33,F,Happy,Pop
33,F,Gloomy,Pop
33,F,Stressed,Instrumental
33,F,Relaxing,Indie/Acoustic
33,F,Energetic,Rock
33,F,Happy,Rock
33,F,Gloomy,Instrumental
33,F,Stressed,Instrumental
33,F,Relaxing,Instrumental
33,F,Energetic,Rock
33,F,Happy,Rock
33,F,Gloomy,Pop
33,F,Stressed,Pop
33,F,Relaxing,Instrumental
33,F,Energetic,Pop
33,F,Happy,Pop
33,F,Gloomy,Instrumental
33,F,Stressed,Instrumental
33,F,Relaxing,Indie/Acoustic
33,F,Energetic,Pop
33,M,Happy,Pop
33,M,Gloomy,Rock
33,M,Stressed,Instrumental
33,M,Relaxing,Country
33,M,Energetic,Hiphop
33,M,Happy,Hiphop
33,M,Gloomy,Rock
33,M,Stressed,Rock
33,M,Relaxing,Country
33,M,Energetic,Hiphop
33,M,Happy,Blues
33,M,Gloomy,Instrumental
33,M,Stressed,Pop
33,M,Relaxing,Rock
33,M,Energetic,Blues
33,M,Happy,Rock
33,M,Gloomy,Instrumental
33,M,Stressed,Instrumental
33,M,Relaxing,Instrumental
33,M,Energetic,Rock
33,M,Happy,Hiphop
33,M,Gloomy,Rock
33,M,Stressed,Rock
